GEO_ID,NAME,EstimateTotalHousingUnits,EstimateOccupiedHousingUnits,EstimateVacantHousingUnits,EstimateOwner-occupiedUnits
42001,"Adams County, Pennsylvania",42525,39628,2897,30850
42003,"Allegheny County, Pennsylvania",602416,545695,56721,350794
42005,"Armstrong County, Pennsylvania",32852,28035,4817,21805
42007,"Beaver County, Pennsylvania",79587,72086,7501,52598
42009,"Bedford County, Pennsylvania",24405,19930,4475,15824
42011,"Berks County, Pennsylvania",167514,156389,11125,111089
42013,"Blair County, Pennsylvania",56960,51647,5313,36288
42015,"Bradford County, Pennsylvania",30691,25084,5607,18248
42017,"Bucks County, Pennsylvania",251373,240763,10610,187963
42019,"Butler County, Pennsylvania",84106,77725,6381,59092
42021,"Cambria County, Pennsylvania",66072,56933,9139,42554
42023,"Cameron County, Pennsylvania",4426,2334,2092,1567
42025,"Carbon County, Pennsylvania",34817,26545,8272,19893
42027,"Centre County, Pennsylvania",67062,59380,7682,37083
42029,"Chester County, Pennsylvania",201715,192951,8764,144688
42031,"Clarion County, Pennsylvania",20554,15930,4624,11075
42033,"Clearfield County, Pennsylvania",39321,31704,7617,24544
42035,"Clinton County, Pennsylvania",19257,15058,4199,10487
42037,"Columbia County, Pennsylvania",30299,26482,3817,18072
42039,"Crawford County, Pennsylvania",44968,35169,9799,25593
42041,"Cumberland County, Pennsylvania",107024,101176,5848,70533
42043,"Dauphin County, Pennsylvania",124874,113759,11115,72073
42045,"Delaware County, Pennsylvania",224746,209596,15150,143938
42047,"Elk County, Pennsylvania",17808,14215,3593,11151
42049,"Erie County, Pennsylvania",121613,110388,11225,73941
42051,"Fayette County, Pennsylvania",63820,55346,8474,40642
42053,"Forest County, Pennsylvania",8721,2131,6590,1772
42055,"Franklin County, Pennsylvania",65808,61617,4191,43688
42057,"Fulton County, Pennsylvania",7269,6040,1229,4726
42059,"Greene County, Pennsylvania",16787,14503,2284,10912
42061,"Huntingdon County, Pennsylvania",22727,16779,5948,12927
42063,"Indiana County, Pennsylvania",38989,33855,5134,23720
42065,"Jefferson County, Pennsylvania",22738,18400,4338,13765
42067,"Juniata County, Pennsylvania",11257,9380,1877,6928
42069,"Lackawanna County, Pennsylvania",100576,87737,12839,56316
42071,"Lancaster County, Pennsylvania",212160,204003,8157,141505
42073,"Lawrence County, Pennsylvania",41317,37300,4017,27882
42075,"Lebanon County, Pennsylvania",57970,53857,4113,37987
42077,"Lehigh County, Pennsylvania",146699,140072,6627,90661
42079,"Luzerne County, Pennsylvania",150235,130039,20196,88467
42081,"Lycoming County, Pennsylvania",53533,46160,7373,31653
42083,"McKean County, Pennsylvania",21260,17059,4201,12687
42085,"Mercer County, Pennsylvania",52303,46821,5482,33620
42087,"Mifflin County, Pennsylvania",21909,19075,2834,13926
42089,"Monroe County, Pennsylvania",81648,59950,21698,46207
42091,"Montgomery County, Pennsylvania",336189,318648,17541,228996
42093,"Montour County, Pennsylvania",8223,7475,748,5156
42095,"Northampton County, Pennsylvania",123556,115300,8256,82098
42097,"Northumberland County, Pennsylvania",45522,39048,6474,27794
42099,"Perry County, Pennsylvania",20934,18512,2422,15015
42101,"Philadelphia County, Pennsylvania",689121,613125,75996,323784
42103,"Pike County, Pennsylvania",39049,22717,16332,19151
42105,"Potter County, Pennsylvania",13011,6630,6381,5167
42107,"Schuylkill County, Pennsylvania",69965,58646,11319,44108
42109,"Snyder County, Pennsylvania",16500,14824,1676,10864
42111,"Somerset County, Pennsylvania",38523,29518,9005,23558
42113,"Sullivan County, Pennsylvania",6378,2751,3627,2275
42115,"Susquehanna County, Pennsylvania",23360,17027,6333,13181
42117,"Tioga County, Pennsylvania",21869,16442,5427,12264
42119,"Union County, Pennsylvania",17430,14762,2668,10415
42121,"Venango County, Pennsylvania",27593,22103,5490,16172
42123,"Warren County, Pennsylvania",23627,17124,6503,13293
42125,"Washington County, Pennsylvania",96263,85201,11062,63856
42127,"Wayne County, Pennsylvania",32381,18938,13443,15325
42129,"Westmoreland County, Pennsylvania",170765,153772,16993,119286
42131,"Wyoming County, Pennsylvania",13479,10887,2592,8253
42133,"York County, Pennsylvania",184896,174425,10471,130524